HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker

HTR: NOTI01181/NOTI01181000088.xml#r2l13        | de Insinuanten doen door mij No¬
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l13  | De Insinuanten doen door mij No¬

HTR: NOTI01181/NOTI01181000088.xml#r2l14        | taris in prasentie van de nagemel¬
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l14  | taris in præsentie  van de nagemel¬

HTR: NOTI01181/NOTI01181000088.xml#r2l18        | atensivelijk aan u gem# zijn afgele¬
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l18  | atensivelijks aan u ge### zijn afgele¬

HTR: NOTI01181/NOTI01181000088.xml#r2l20        | suijker gemerkt ###
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l20  | suijker gemerkt N###.

HTR: NOTI01181/NOTI01181000088.xml#r2l22        | eerde de restitutie van de bovengemel¬
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l22  | eerde de restitutie van des bovengemel¬

HTR: NOTI01181/NOTI01181000088.xml#r2l24        | gij geinsuneerde ^ hebt kunnen goedvo##
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l24  | gij geinsuneerde ^ hebt kunnen goedv###

HTR: NOTI01181/NOTI01181000088.xml#r2l25        | de, deselve vijftien vaten met suijker
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l25  | de, deselve vijftien vaten met suijker te

HTR: NOTI01181/NOTI01181000088.xml#r2l27        | weggeeen te restitueeren maer zulks te weijgeren
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l26  | weijgeren te restitueeren maer zulks te weijgeren

HTR: NOTI01181/NOTI01181000088.xml#r2l28        | Waarom de Insinuanten bij deesen
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l27  | Waarom de Insinuanten bij deese

HTR: NOTI01181/NOTI01181000088.xml#r2l29        | door mij Notaris in praesentie
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l28  | door mij Notaris in preesentie

HTR: NOTI01181/NOTI01181000088.xml#r2l30        | van de nagenoemde getuijgen u geinsi¬
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l29  | van de nagenoemde getuijge u geinsi¬

HTR: NOTI01181/NOTI01181000088.xml#r2l35        | nueerde ^ op het vriendelijkste dooet
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l30  | als ###

HTR: NOTI01181/NOTI01181000088.xml#r2l35        | nueerde ^ op het vriendelijkste dooet
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l31  | neerde, op het vriendelijkste doet

HTR: NOTI01181/NOTI01181000088.xml#r2l37        | de ^ goetheijd gelievt te hebben aan
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l33  | de, goetheijd gelieve te hebben aan

HTR: NOTI01181/NOTI01181000088.xml#r2l39        | gemelde vijftien oxhoofden Surinaam
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l35  | gemelde vijftien oxhoofden Surinaam¬

HTR: NOTI01181/NOTI01181000088.xml#r2l40        | se suijker gemerkt ## die aan u gein¬
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l36  | se Suijker gemerkt ### die aan u gein¬

HTR: NOTI01181/NOTI01181000088.xml#r2l42        | te  restitueeren
GT : 12788_NOTI01181/NOTI01181000088.xml#r2l38  | te ### restitueeren

HTR: NOTI01181/NOTI01181000089.xml#r1l1         | Protesterende de Insinuanten bij weij
GT : 12788_NOTI01181/NOTI01181000089.xml#r1l1   | Protesterende de Insinuanten bij weij¬

HTR: NOTI01181/NOTI01181000089.xml#r1l6         | nog zullen werden veroorzaakt en waar van
GT : 12788_NOTI01181/NOTI01181000089.xml#r1l6   | nog zullen werden veroorzaakt en waar va

HTR: NOTI01181/NOTI01181000089.xml#r1l8         | Waar op de geinsinueerde antwoord
GT : 12788_NOTI01181/NOTI01181000089.xml#r1l8   | Waar op de geinisnueerde antwoord

HTR: NOTI01181/NOTI01181000089.xml#r1l10        | Geexploicteert binnen Amsteldam in
GT : 12788_NOTI01181/NOTI01181000089.xml#r1l10  | Geexploicteert binnen  Amsteldam in

HTR: NOTI01181/NOTI01181000089.xml#r1l11        | preentie van Johannes Munink
GT : 12788_NOTI01181/NOTI01181000089.xml#r1l11  | presentie van Johannes Munnink

HTR: NOTI01181/NOTI01181000089.xml#r1l13        | H: Manniks
GT : 12788_NOTI01181/NOTI01181000089.xml#r1l13  | J: Munniks

HTR: NOTI01181/NOTI01181000090.xml#r1l1         | No 29
GT : 12788_NOTI01181/NOTI01181000090.xml#r1l1   | No. 29

HTR: NOTI01181/NOTI01181000090.xml#r1l2         | b#p
GT : 12788_NOTI01181/NOTI01181000090.xml#r1l2   | buh###

HTR: NOTI01181/NOTI01181000090.xml#r1l9         | Joannes Battallien ten
GT : 12788_NOTI01181/NOTI01181000090.xml#r1l8   | Joannes Battallien ter

HTR: NOTI01181/NOTI01181000090.xml#r1l10        | andere zijde
GT : 12788_NOTI01181/NOTI01181000090.xml#r1l9   | andere Zijde

HTR: NOTI01181/NOTI01181000090.xml#r1l1         | No 29
GT : 12788_NOTI01181/NOTI01181000090.xml#r1l12  | n

HTR: NOTI01181/NOTI01181000090.xml#r1l14        | G
GT : 12788_NOTI01181/NOTI01181000090.xml#r1l13  | L

HTR: NOTI01181/NOTI01181000091.xml#r3l1         | Compareerden ##
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l1   | Compareerden ###

HTR: NOTI01181/NOTI01181000091.xml#r3l3         | ter eener, ende Heer Johannes Battal¬
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l3   | ter eener, en de Heer Johannes Battal ¬

HTR: NOTI01181/NOTI01181000091.xml#r3l8         | stad
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l8   | Stad

HTR: NOTI01181/NOTI01181000091.xml#r3l13        | zijnde ontstaan wegens prætensien die den
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l13  | zijnde ontstaan wegens prætensien die der

HTR: NOTI01181/NOTI01181000091.xml#r3l15        | van den Comparant ter tweeder zijde, mits¬
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l15  | van den comparant ter tweeder zijde, mits¬

HTR: NOTI01181/NOTI01181000091.xml#r3l17        | hadde te vorderen van den Comparant ter
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l17  | hadde te vorderen van den comparant ter

HTR: NOTI01181/NOTI01181000091.xml#r3l20        | Achtb. Heeren Scheepenen deser stad waa¬
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l20  | Achtb. Heeren Scheepenen deser Stad waa¬

HTR: NOTI01181/NOTI01181000091.xml#r3l22        | van den eersten Comparant ten lasten van
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l22  | van den eersten comparant ten lasten van

HTR: NOTI01181/NOTI01181000091.xml#r3l23        | den tweede Comparant in de navolgende
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l23  | den tweede comparant in de navolgende

HTR: NOTI01181/NOTI01181000091.xml#r3l27        | capitaal door den Comparant ter tweeder
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l27  | capitaal, door den comparant ter tweeder

HTR: NOTI01181/NOTI01181000091.xml#r3l29        | niet beding van Interessen gerekent tegen
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l29  | met beding van Interessen gerekent tegen

HTR: NOTI01181/NOTI01181000091.xml#r3l34        | ter eerster zijde uijt kragte van de voorsz. borg¬
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l34  | ter eerster zijde uijt kragte van de voor z. borg¬

HTR: NOTI01181/NOTI01181000091.xml#r3l35        | togt schade zoude kunnen lijden
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l35  | togt Schade zoude kunnen lijden.

HTR: NOTI01181/NOTI01181000091.xml#r3l41        | de disputen en verschillen tusschen den Com¬
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l41  | de disputen en verschillen tusschen den com¬

HTR: NOTI01181/NOTI01181000091.xml#r3l43        | staan over een gemeenschap of Compagnie
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l43  | staan over een gemeenschap of compagnie

HTR: NOTI01181/NOTI01181000091.xml#r3l44        | van negotie tusschen hem Comparant ter
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l44  | van negotie tusschen hem comparant ter

HTR: NOTI01181/NOTI01181000091.xml#r3l46        | waar in de comparant ter eerster zijde had
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l46  | waar in de comparant ter eerster zijde had¬

HTR: NOTI01181/NOTI01181000091.xml#r3l48        | vier duijsent gulden.
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l48  | vier duijsent guldens

HTR: NOTI01181/NOTI01181000091.xml#r3l50        | tig gulden en agt stuijvers, door den Compa¬
GT : 12788_NOTI01181/NOTI01181000091.xml#r3l50  | tig gulden en agt stuijvers, door den compa¬

HTR: NOTI01181/NOTI01181000091.xml#r1l3         | veertig, Compareerden voor mij
GT : 12788_NOTI01181/NOTI01181000091.xml#r1l3   | veertig, compareerden voor mij

HTR: NOTI01181/NOTI01181000092.xml#r2l1         | Comparant ter eerster zijde en voor desselvs
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l1   | Comparant ter eerste zijde en voor desselvs

HTR: NOTI01181/NOTI01181000092.xml#r2l2         | portie bij repartitie ontvangen uijt het sui¬
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l2   | portie bij repartitie ontvangen uijt het Sui¬

HTR: NOTI01181/NOTI01181000092.xml#r2l3         | vere montant der Kooppenningen van se¬
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l3   | Se¬

HTR: NOTI01181/NOTI01181000092.xml#r2l3         | vere montant der Kooppenningen van se¬
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l4   | vere montant der Kooppenningen van

HTR: NOTI01181/NOTI01181000092.xml#r2l4         | ven vaten vitriool door hem Comparant
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l5   | ver water vitriool door hem Comparant

HTR: NOTI01181/NOTI01181000092.xml#r2l5         | ter tweeder zijde verkogt en toebehoort heb¬
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l6   | ter tweeder Zijde verkogt en toebehoort heb¬

HTR: NOTI01181/NOTI01181000092.xml#r2l6         | bende Christoffel Battallier, ten wiens last
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l7   | bende Christoffel Battalier, ten wiens laste

HTR: NOTI01181/NOTI01181000092.xml#r2l7         | de comparant ter eerster zijde prætentie
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l8   | de Comparant ter eerster Zijde prætentie

HTR: NOTI01181/NOTI01181000092.xml#r2l8         | hadde
GT : 12788_NOTI01181/NOTI01181000092.xml#r2l9   | hadde.

HTR: NOTI01181/NOTI01181000093.xml#r1l2         | ben gehad en tusschen hen comparanten
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l2   | ben gehad en tusschen hen Comparanten

HTR: NOTI01181/NOTI01181000093.xml#r1l3         | openstaande zijn geweest, mitsgaders de
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l3   | openstaande Zijn geweest, mitsgaders de

HTR: NOTI01181/NOTI01181000093.xml#r1l4         | voorgemelde proceduures, sonder dat den
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l4   | voorgemelde proceduures, Sonder dat den

HTR: NOTI01181/NOTI01181000093.xml#r1l7         | naamt, blijvt openhouden of reserveeren
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l7   | naamt, blijvt openhouden of reserveeren,

HTR: NOTI01181/NOTI01181000093.xml#r1l8         | gelijk meede den Comparant ter eerster zij¬
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l8   | gelijk meede den Comparant ter eerster Zij¬

HTR: NOTI01181/NOTI01181000093.xml#r1l10        | parant ter tweeder zijde te zullen indemnee¬
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l10  | parant ter tweeder Zijde te Zullen indemnee¬

HTR: NOTI01181/NOTI01181000093.xml#r1l11        | ren en vrij Kost en schadeloos te houden
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l11  | ren en vrij Kost en Schadeloos te houden

HTR: NOTI01181/NOTI01181000093.xml#r1l14        | zijde in tijde en wijlen zoude kunnen opkoo¬
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l14  | Zijde in tijde en wijlen Zoude Kunnen opkoo¬

HTR: NOTI01181/NOTI01181000093.xml#r1l16        | ter saake van de bovengemelde Somma
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l16  | ter Saake van de bovengemelde Somma

HTR: NOTI01181/NOTI01181000093.xml#r1l17        | van vier duijsent een hondert seven en
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l17  | van vier duijsent een hondert Seven en

HTR: NOTI01181/NOTI01181000093.xml#r1l18        | twintig gulden seven stuijvers en agt pen¬
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l18  | twintig gulden Seven Stuijvers en agt pen¬

HTR: NOTI01181/NOTI01181000093.xml#r1l19        | ningen: Renuntieerende de Comparan¬
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l19  | ningen. Renuntieerende de Comparant¬

HTR: NOTI01181/NOTI01181000093.xml#r1l21        | voor soo veel nood zij van herrekening,
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l21  | voor Soo veel nood Zij van herrekening,

HTR: NOTI01181/NOTI01181000093.xml#r1l22        | recollement van Rekening, debat, r##
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l22  | recollement van Rekening, debat,  ###

HTR: NOTI01181/NOTI01181000093.xml#r1l23        | en alle andere hulpmiddelen van Rech
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l23  | en alle andere hupmiddelen van Rech¬

HTR: NOTI01181/NOTI01181000093.xml#r1l24        | ten, die hen Comparanten zouden kunnen
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l24  | ten, die hen Comparanten Zouden Kunnen

HTR: NOTI01181/NOTI01181000093.xml#r1l26        | een ieder van hen beloovden zich nooijt
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l26  | een ieder van hen beloovden Zich nooijt

HTR: NOTI01181/NOTI01181000093.xml#r1l27        | te zullen behelpen.
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l27  | te Zullen behelpen.

HTR: NOTI01181/NOTI01181000093.xml#r1l28        | Tot nakoming en præestatie dese#
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l28  | Tot nakoming en preestatie dese###

HTR: NOTI01181/NOTI01181000093.xml#r1l29        | verbinden de comparanten hun¬
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l29  | verbinden de Comparanten hun¬

HTR: NOTI01181/NOTI01181000093.xml#r1l32        | deren als na Rechten
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l32  | deren als na Rechten.

HTR: NOTI01181/NOTI01181000093.xml#r1l33        | Gepasseert binnen Amsteldam in praesentie
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l33  | Gepasseert binnen Amsteldam in preesentie

HTR: NOTI01181/NOTI01181000093.xml#r1l35        | Bractearius als getuijgen
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l35  | Bractearius als getuijgen.

HTR: NOTI01181/NOTI01181000093.xml#r1l39        | Wm Decke Juio
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l39  | Wm Decker Junior

HTR: NOTI01181/NOTI01181000093.xml#r1l40        | Jonannes Battallieu
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l40  | Johannes Battallieu

HTR: NOTI01181/NOTI01181000093.xml#r1l41        | Abm: Bractearius
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l42  | Ab: Bractearius

HTR: NOTI01181/NOTI01181000093.xml#r1l42        | HV: Heel
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l44  | H V Heel

HTR: NOTI01181/NOTI01181000093.xml#r1l45        | Arie blankers
GT : 12788_NOTI01181/NOTI01181000093.xml#r1l47  | Arie Blankers

HTR: NOTI01181/NOTI01181000094.xml#r2l8         | getuigen
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l7   | ^ getuijgen

HTR: NOTI01181/NOTI01181000094.xml#r2l12        | Hartman woonende in de hoagstraat
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l11  | Hartman woonende in de hoogstraat

HTR: NOTI01181/NOTI01181000094.xml#r2l13        | Schuijn teegen over de sant straat En
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l12  | Schuijn teegenover de Sant Straat, En

HTR: NOTI01181/NOTI01181000094.xml#r2l15        | Christiaan Hartman uijt naam ende t
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l14  | Christiaan Hartman uijt naam en de

HTR: NOTI01181/NOTI01181000094.xml#r2l16        | vanweegens de Hr. Jordanus Rijke Ar
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l15  | vanweegens de Hr. Jordanus Rijke Mr

HTR: NOTI01181/NOTI01181000094.xml#r2l20        | de Insinuant doet door mij Notaris in presenntie
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l19  | de Insinuant doet door mij Notaris in præsentie

HTR: NOTI01181/NOTI01181000094.xml#r2l26        | deeser stad te maaken tot een Woonkelder, sodaanig en
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l25  | deeser Stad te maaken tot een Woonkelder, Sodaanig en

HTR: NOTI01181/NOTI01181000094.xml#r2l27        | in diervoegen, als bij het bestek, daar van tusschen hem
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l26  | in diervoegen als bij het bestek daar van tusschen hem

HTR: NOTI01181/NOTI01181000094.xml#r2l29        | stipuleert en waar voor aan den Insinuant, Soo
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l28  | stipuleert en waar voor aan den Insinuant, Soo¬

HTR: NOTI01181/NOTI01181000094.xml#r2l32        | zouden werden betaalt een somma van ses hondert
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l31  | zouden werden betaalt een Somma van ses hondert

HTR: NOTI01181/NOTI01181000094.xml#r2l33        | guldens, sonder wachten
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l32  | guldens, Sonder wachten

HTR: NOTI01181/NOTI01181000094.xml#r2l35        | is vastgestelt de pijs ofte de schoorsteen uijt de kelder
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l34  | is vastgestelt de prijs ofte de Schoorsteen uijt de kelder

HTR: NOTI01181/NOTI01181000094.xml#r2l38        | van daar booven het dak uijtte trecken ^ sulks bestkan
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l35  | van daar booven het dak uijt te trecken ^ Sulks best kan

HTR: NOTI01181/NOTI01181000094.xml#r2l40        | twee pijpen in de schoorsteen heeft, die daar in
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l37  | twee pijpen in de Schoorsteen heeft, die daar in

HTR: NOTI01181/NOTI01181000094.xml#r2l45        | zouden moeten werden gemaakt ten kosten
GT : 12788_NOTI01181/NOTI01181000094.xml#r2l42  | zouden moeten werden gemaakt ten Kosten

HTR: NOTI01181/NOTI01181000095.xml#r4l1         | nog versteeken blijven van die Somme van
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l1   | nog versteeken blyven van die Somme van

HTR: NOTI01181/NOTI01181000095.xml#r4l3         | het voorsz: bestek competeeren, soo doet de Insi¬
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l3   | het voorsz: bestek competeeren, Soo doet de Insi

HTR: NOTI01181/NOTI01181000095.xml#r4l4         | nuant als noch door mij Notaris in prasentie van
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l4   | nuant als noch door mij Notaris in praesentie van

HTR: NOTI01181/NOTI01181000095.xml#r4l13        | voorgemelde pyp of schoorsteen soodaanig
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l13  | voorgemelde pyp of schoorsteen soodanig

HTR: NOTI01181/NOTI01181000095.xml#r4l16        | als nog bereyt is, soo als h daartoe altoos berejg
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l16  | alsnog bereyt is, soo als hy daartoe altoos bereyt

HTR: NOTI01181/NOTI01181000095.xml#r4l18        | moeite en de voiren aangewend heeft als hy
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l18  | moeite en devoiren aangewend heeft als hy

HTR: NOTI01181/NOTI01181000095.xml#r4l21        | hem Insinuant de gestipuleerde somme van
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l21  | hem Insinuant de gestipuleerde Somme van

HTR: NOTI01181/NOTI01181000095.xml#r4l22        | penningen te voldoen, denuntieerende hij Instn
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l22  | penningen te voldoen, denuntieerende hij Inst,

HTR: NOTI01181/NOTI01181000095.xml#r4l23        | uw geinsens andersints dat hy Insinuant
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l23  | uw geinsens. andersints dat hy Insinuant

HTR: NOTI01181/NOTI01181000095.xml#r4l24        | by nalatigheijd of verder uijtstel van uw geinsens
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l24  | by nalatigheijd of verder uijtstel van uw geinsens=

HTR: NOTI01181/NOTI01181000095.xml#r4l32        | Sodaanige kosten schaaden en Interessen als door
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l32  | sodaanige kosten schaaden en Interessen als door

HTR: NOTI01181/NOTI01181000095.xml#r4l33        | het dilaijeeren van uw geinsens reets zijn ver¬
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l33  | reets zijn ver¬

HTR: NOTI01181/NOTI01181000095.xml#r4l33        | het dilaijeeren van uw geinsens reets zijn ver¬
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l34  | het dilaijeeren van uw geinsens=

HTR: NOTI01181/NOTI01181000095.xml#r4l37        | nsinueerde antwoorde, zoo draa
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l38  | insinueerde antwoorde, zoo draa

HTR: NOTI01181/NOTI01181000095.xml#r4l38        | Waar op den eersten geee¬
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l39  | Waar op den eersten ge

HTR: NOTI01181/NOTI01181000095.xml#r4l42        | geinsen soude spreeken
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l43  | geinsen. soude spreeken

HTR: NOTI01181/NOTI01181000095.xml#r4l46        | Abm Bractearius
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l47  | Abm. Bractearius

HTR: NOTI01181/NOTI01181000095.xml#r4l47        | H:M: Hoet
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l48  | M. Hoet

HTR: NOTI01181/NOTI01181000095.xml#r4l47        | H:M: Hoet
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l49  | H.

HTR: NOTI01181/NOTI01181000095.xml#r4l50        | H:V: He
GT : 12788_NOTI01181/NOTI01181000095.xml#r3l50  | H:V: Heel

HTR: NOTI01181/NOTI01181000095.xml#r3l2         | alles wat door hem insinuant bij het boovengem.
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l2   | alles wat door hem insinuant by het boovengem

HTR: NOTI01181/NOTI01181000095.xml#r3l3         | bestek aangenoomen was al reets eenigen tyd gelee
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l3   | bestek aangenoomen was al reets eenigen tyd gelee¬

HTR: NOTI01181/NOTI01181000095.xml#r3l4         | den geheel en al heeft afgemaakt uitgesondert alle
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l4   | den geheel en al heeft afgemaakt uitgesondert allee

HTR: NOTI01181/NOTI01181000095.xml#r3l5         | lijk de voornoemde Schoorsteen welke fot heeden
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l5   | lijk de voornoemde schoorsteen welke tot heeden

HTR: NOTI01181/NOTI01181000095.xml#r3l8         | en bewoonder van u geinsinueerdens boovengem
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l8   | en bewoonder van u geinsinueerdens boovengem.

HTR: NOTI01181/NOTI01181000095.xml#r3l9         | Huijs niet teegen staande meenigvuldige herhaa
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l9   | Huijs niet teegenstaande meenigvuldige herhaa

HTR: NOTI01181/NOTI01181000095.xml#r3l10        | de versoeken door hem insinuant buijten allen
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l10  | de versoeken door hem insinuant buijten allen ge

HTR: NOTI01181/NOTI01181000095.xml#r3l11        | houdenis tot dat eynde aan dien huurder en bewoon¬
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l11  | houdenis tot dat eynde aan dien huurder en bewoon

HTR: NOTI01181/NOTI01181000095.xml#r3l12        | der gedaan, aan den insinuant niet heeft wille
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l12  | der gedaan, aan den insinuant niet heeft willen

HTR: NOTI01181/NOTI01181000095.xml#r3l13        | permitteeren het zelve te doen maaken hebbend
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l13  | permitteeren het zelve te doen maaken, hebbend

HTR: NOTI01181/NOTI01181000095.xml#r3l15        | door den insinuant tot het geeven van permis¬
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l15  | door den insinuant tot het geeven van permis

HTR: NOTI01181/NOTI01181000095.xml#r3l17        | was, het werk volk vanden Insinuant tot het
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l17  | was, het werk volk vanden Insinuant tot he

HTR: NOTI01181/NOTI01181000095.xml#r3l19        | tyden gesonden, toegang en vrygeijdt te weijgeren
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l19  | tyden gesonden, toegang en vryheijdt te weijgeren

HTR: NOTI01181/NOTI01181000095.xml#r3l24        | gij geinsens hem Insinuant gelievden te doen hun
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l24  | gij geinsens= hem Insinuant gelievden te doen heb

HTR: NOTI01181/NOTI01181000095.xml#r3l27        | schoorsteen van uit de voorschreeven kelder
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l27  | Schoorsteen van uit de voorschreeven kelder

HTR: NOTI01181/NOTI01181000095.xml#r3l28        | sodaanig als hier boovene in 't bestek, breeder staat
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l28  | sodaanig als hier booven in 't bestek breeder staat

HTR: NOTI01181/NOTI01181000095.xml#r3l33        | en tot sijn merkelyk naadeel niet heeft kunnen
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l33  | en tot sijn merkelyk naadeel niet heeft kunne

HTR: NOTI01181/NOTI01181000095.xml#r3l34        | geschieden ofte dat gy geinses indien gij daarto
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l34  | geschieden ofte dat gy geinsens, indien gij daarto

HTR: NOTI01181/NOTI01181000095.xml#r3l36        | bevinden sulks bekwaamlijk te weeg te brenge¬
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l36  | bevinden sulks bekwaamlijk te weeg te brenge

HTR: NOTI01181/NOTI01181000095.xml#r3l37        | als dan aan den Insinuante de somme by het
GT : 12788_NOTI01181/NOTI01181000095.xml#r2l37  | als dan aan den Insinuant de somme by het

HTR: NOTI01181/NOTI01181000096.xml#r1l1         | No. 31.
GT : 12788_NOTI01181/NOTI01181000096.xml#r1l1   | No. 31

HTR: NOTI01181/NOTI01181000096.xml#r1l5         | aain
GT : 12788_NOTI01181/NOTI01181000096.xml#r1l5   | aan

HTR: NOTI01181/NOTI01181000096.xml#r2l1         | Van Loon
GT : 12788_NOTI01181/NOTI01181000096.xml#r1l7   | Gt.

HTR: NOTI01181/NOTI01181000097.xml#r3l9         | de Hr: Insinuant doed U Hr: Geinsinueerden door mij
