PATTERN	COUNT	TOKENS	COVERAGE	CATEGORY	SIZE	FREQUENCY
op dese sijne	874		2622	3.51076e-05	ngram	3	2.77545e-05
ende Jan Fransz	874		2622	3.51076e-05	ngram	3	2.77545e-05
alvoldaen en betaelt	874		2622	3.51076e-05	ngram	3	2.77545e-05
van des testateurs	873		2619	3.50675e-05	ngram	3	2.77228e-05
nogh te hebben	873		2619	3.50675e-05	ngram	3	2.77228e-05
gestaen , gelegen	873		2619	3.50675e-05	ngram	3	2.77228e-05
eeniger manieren daer	873		2619	3.50675e-05	ngram	3	2.77228e-05
dat hy de	873		2619	3.50675e-05	ngram	3	2.77228e-05
van een duijsent	872		2616	3.50273e-05	ngram	3	2.7691e-05
ten huijse vande	872		2616	3.50273e-05	ngram	3	2.7691e-05
in die qualite	872		2616	3.50273e-05	ngram	3	2.7691e-05
desen voor hem	872		2616	3.50273e-05	ngram	3	2.7691e-05
als Executeurs van	872		2616	3.50273e-05	ngram	3	2.7691e-05
vande Oost Indische	871		2613	3.49871e-05	ngram	3	2.76593e-05
West Indische Comp	870		2610	3.4947e-05	ngram	3	2.76275e-05
ware in crachte	870		2610	3.4947e-05	ngram	3	2.76275e-05
te mogen werden	870		2610	3.4947e-05	ngram	3	2.76275e-05
sal mogen bestaen	870		2610	3.4947e-05	ngram	3	2.76275e-05
eenige ende universele	870		2610	3.4947e-05	ngram	3	2.76275e-05
: 14 :	870		2610	3.4947e-05	ngram	3	2.76275e-05
't voorsz .	869		2607	3.49068e-05	ngram	3	2.75958e-05
ter tweeder zijde	869		2607	3.49068e-05	ngram	3	2.75958e-05
hebbende Juffr .	869		2607	3.49068e-05	ngram	3	2.75958e-05
dat hy get.	869		2607	3.49068e-05	ngram	3	2.75958e-05
een Somme van	868		2604	3.48666e-05	ngram	3	2.7564e-05
desen solemmelijck te	868		2604	3.48666e-05	ngram	3	2.7564e-05
dat transport is	868		2604	3.48666e-05	ngram	3	2.7564e-05
als door de	868		2604	3.48666e-05	ngram	3	2.7564e-05
, wetten ,	867		2601	3.48265e-05	ngram	3	2.75322e-05
voldoen ende bet	867		2601	3.48265e-05	ngram	3	2.75322e-05
te samen ende	867		2601	3.48265e-05	ngram	3	2.75322e-05
, ende doen	867		2601	3.48265e-05	ngram	3	2.75322e-05
, als getuigen	867		2601	3.48265e-05	ngram	3	2.75322e-05
waer die gestaen	866		2598	3.47863e-05	ngram	3	2.75005e-05
: v :	866		2598	3.47863e-05	ngram	3	2.75005e-05
volcomen effect sorteren	865		2595	3.47461e-05	ngram	3	2.74687e-05
toe versocht ,	865		2595	3.47461e-05	ngram	3	2.74687e-05
mogen , ende	865		2595	3.47461e-05	ngram	3	2.74687e-05
en tot administrateurs	865		2595	3.47461e-05	ngram	3	2.74687e-05
en Subjectie als	865		2595	3.47461e-05	ngram	3	2.74687e-05
een ofte meer	865		2595	3.47461e-05	ngram	3	2.74687e-05
schipper van het	864		2592	3.47059e-05	ngram	3	2.7437e-05
ende ter contrarie	864		2592	3.47059e-05	ngram	3	2.7437e-05
deser ende andere	864		2592	3.47059e-05	ngram	3	2.7437e-05
d'een of d'ander	864		2592	3.47059e-05	ngram	3	2.7437e-05
te innen ,	863		2589	3.46658e-05	ngram	3	2.74052e-05
ouderdom en hebben	863		2589	3.46658e-05	ngram	3	2.74052e-05
omme de inhoude	863		2589	3.46658e-05	ngram	3	2.74052e-05
kost ende schadeloos	863		2589	3.46658e-05	ngram	3	2.74052e-05
en belofte van	863		2589	3.46658e-05	ngram	3	2.74052e-05
d ' hr	863		2589	3.46658e-05	ngram	3	2.74052e-05
Willem de Boer	862		2586	3.46256e-05	ngram	3	2.73735e-05
van welke de	862		2586	3.46256e-05	ngram	3	2.73735e-05
persoon van Sr.	861		2583	3.45854e-05	ngram	3	2.73417e-05
als vooren te	861		2583	3.45854e-05	ngram	3	2.73417e-05
alle Testamenten Codicillen	861		2583	3.45854e-05	ngram	3	2.73417e-05
reijse als anders	860		2580	3.45453e-05	ngram	3	2.731e-05
: neffens dese	860		2580	3.45453e-05	ngram	3	2.731e-05
In Amstelre .	860		2580	3.45453e-05	ngram	3	2.731e-05
requisitie van den	859		2577	3.45051e-05	ngram	3	2.72782e-05
op den 13	859		2577	3.45051e-05	ngram	3	2.72782e-05
en te niet	859		2577	3.45051e-05	ngram	3	2.72782e-05
ende aengedient tgeene	859		2577	3.45051e-05	ngram	3	2.72782e-05
e in presentie	859		2577	3.45051e-05	ngram	3	2.72782e-05
de volle en	859		2577	3.45051e-05	ngram	3	2.72782e-05
aen de gemelte	859		2577	3.45051e-05	ngram	3	2.72782e-05
tot submissie van	858		2574	3.44649e-05	ngram	3	2.72464e-05
part in het	858		2574	3.44649e-05	ngram	3	2.72464e-05
mogen komen te	858		2574	3.44649e-05	ngram	3	2.72464e-05
uijtgesondert van die	857		2571	3.44248e-05	ngram	3	2.72147e-05
Julij @ o	857		2571	3.44248e-05	ngram	3	2.72147e-05
gelegateert ende besproocken	857		2571	3.44248e-05	ngram	3	2.72147e-05
voornoemde man geadsisteert	856		2568	3.43846e-05	ngram	3	2.71829e-05
tot dieneijnde alle	856		2568	3.43846e-05	ngram	3	2.71829e-05
te doen de	856		2568	3.43846e-05	ngram	3	2.71829e-05
selfs present synde	856		2568	3.43846e-05	ngram	3	2.71829e-05
geevende , dat	856		2568	3.43846e-05	ngram	3	2.71829e-05
ende ontfangen Begeerende	856		2568	3.43846e-05	ngram	3	2.71829e-05
doet by desen	856		2568	3.43846e-05	ngram	3	2.71829e-05
des levens ,	856		2568	3.43846e-05	ngram	3	2.71829e-05
binnen deze Stad	856		2568	3.43846e-05	ngram	3	2.71829e-05
van rechten ,	855		2565	3.43444e-05	ngram	3	2.71512e-05
staande het huwelijk	855		2565	3.43444e-05	ngram	3	2.71512e-05
nog eijgendom meerder	855		2565	3.43444e-05	ngram	3	2.71512e-05
macht van substitutie	855		2565	3.43444e-05	ngram	3	2.71512e-05
: van de	854		2562	3.43043e-05	ngram	3	2.71194e-05
en te noemen	854		2562	3.43043e-05	ngram	3	2.71194e-05
de Koper of	854		2562	3.43043e-05	ngram	3	2.71194e-05
weduwe van wijlen	853		2559	3.42641e-05	ngram	3	2.70877e-05
van Amstm .	853		2559	3.42641e-05	ngram	3	2.70877e-05
op den 28	853		2559	3.42641e-05	ngram	3	2.70877e-05
Bronkhorst en Jan	853		2559	3.42641e-05	ngram	3	2.70877e-05
en voorts van	852		2556	3.42239e-05	ngram	3	2.70559e-05
duijsent gls :	852		2556	3.42239e-05	ngram	3	2.70559e-05
, Compareerden voor	852		2556	3.42239e-05	ngram	3	2.70559e-05
ter hande gestelt	851		2553	3.41838e-05	ngram	3	2.70242e-05
rechte , sonder	851		2553	3.41838e-05	ngram	3	2.70242e-05
, Omme uijt	851		2553	3.41838e-05	ngram	3	2.70242e-05
naa dat het	851		2553	3.41838e-05	ngram	3	2.70242e-05
voor de eene	850		2550	3.41436e-05	ngram	3	2.69924e-05
verklaert ende getuijcht	850		2550	3.41436e-05	ngram	3	2.69924e-05
hy 3 get	850		2550	3.41436e-05	ngram	3	2.69924e-05
hebben doen en	850		2550	3.41436e-05	ngram	3	2.69924e-05
deser werelt ontruijmen	850		2550	3.41436e-05	ngram	3	2.69924e-05
Crediten ende gerechticheden	850		2550	3.41436e-05	ngram	3	2.69924e-05
Cooper doende volcomen	850		2550	3.41436e-05	ngram	3	2.69924e-05
aan de comparant	850		2550	3.41436e-05	ngram	3	2.69924e-05
, gestelt ,	849		2547	3.41034e-05	ngram	3	2.69606e-05
de Comparanten de	849		2547	3.41034e-05	ngram	3	2.69606e-05
bleeck , wel	849		2547	3.41034e-05	ngram	3	2.69606e-05
bij desen Sr.	849		2547	3.41034e-05	ngram	3	2.69606e-05
Heeren scheepenen deser	848		2544	3.40632e-05	ngram	3	2.69289e-05
, deselve stellende	848		2544	3.40632e-05	ngram	3	2.69289e-05
2 „ 10	848		2544	3.40632e-05	ngram	3	2.69289e-05
vijf en sestig	847		2541	3.40231e-05	ngram	3	2.68971e-05
te ontvangen ,	847		2541	3.40231e-05	ngram	3	2.68971e-05
op den 18	847		2541	3.40231e-05	ngram	3	2.68971e-05
het regt van	847		2541	3.40231e-05	ngram	3	2.68971e-05
het opgemelde schip	847		2541	3.40231e-05	ngram	3	2.68971e-05
en dat zij	846		2538	3.39829e-05	ngram	3	2.68654e-05
den tijd van	846		2538	3.39829e-05	ngram	3	2.68654e-05
schulden en lasten	845		2535	3.39427e-05	ngram	3	2.68336e-05
, niet willende	845		2535	3.39427e-05	ngram	3	2.68336e-05
het voorsz :	845		2535	3.39427e-05	ngram	3	2.68336e-05
bij den Compt	845		2535	3.39427e-05	ngram	3	2.68336e-05
alle tgene bij	845		2535	3.39427e-05	ngram	3	2.68336e-05
kindt of kinderen	844		2532	3.39026e-05	ngram	3	2.68019e-05
in qualite als	844		2532	3.39026e-05	ngram	3	2.68019e-05
Hendrik Pieter van	844		2532	3.39026e-05	ngram	3	2.68019e-05
gedaen en geleden	844		2532	3.39026e-05	ngram	3	2.68019e-05
en aan deselve	844		2532	3.39026e-05	ngram	3	2.68019e-05
te verhaalen daar	843		2529	3.38624e-05	ngram	3	2.67701e-05
d ' ander	843		2529	3.38624e-05	ngram	3	2.67701e-05
bestaen magh ,	843		2529	3.38624e-05	ngram	3	2.67701e-05
te werden acte	842		2526	3.38222e-05	ngram	3	2.67383e-05
sal ; het	842		2526	3.38222e-05	ngram	3	2.67383e-05
plaets sal hebben	842		2526	3.38222e-05	ngram	3	2.67383e-05
leven te hebben	842		2526	3.38222e-05	ngram	3	2.67383e-05
door mij Nots	842		2526	3.38222e-05	ngram	3	2.67383e-05
by desen .	842		2526	3.38222e-05	ngram	3	2.67383e-05
als get :	842		2526	3.38222e-05	ngram	3	2.67383e-05
trecken en genieten	841		2523	3.37821e-05	ngram	3	2.67066e-05
, te saamen	841		2523	3.37821e-05	ngram	3	2.67066e-05
op den 16	841		2523	3.37821e-05	ngram	3	2.67066e-05
, niet en	841		2523	3.37821e-05	ngram	3	2.67066e-05
In den Jare	841		2523	3.37821e-05	ngram	3	2.67066e-05
goede sijnde interessen	841		2523	3.37821e-05	ngram	3	2.67066e-05
, Ende alsoo	841		2523	3.37821e-05	ngram	3	2.67066e-05
Codicillen ende andere	841		2523	3.37821e-05	ngram	3	2.67066e-05
bij dat testament	841		2523	3.37821e-05	ngram	3	2.67066e-05
, wel hebbende	840		2520	3.37419e-05	ngram	3	2.66748e-05
gemaeckt ende gelevert	840		2520	3.37419e-05	ngram	3	2.66748e-05
, verstreckte ende	839		2517	3.37017e-05	ngram	3	2.66431e-05
van dien Belovende	839		2517	3.37017e-05	ngram	3	2.66431e-05
Maart des Jaars	839		2517	3.37017e-05	ngram	3	2.66431e-05
aan ende ten	839		2517	3.37017e-05	ngram	3	2.66431e-05
ende verclaerde hy	838		2514	3.36616e-05	ngram	3	2.66113e-05
de Heeren Jan	838		2514	3.36616e-05	ngram	3	2.66113e-05
bij representatie in	838		2514	3.36616e-05	ngram	3	2.66113e-05
wel ende deuchdelijck	837		2511	3.36214e-05	ngram	3	2.65796e-05
ontfangen , ende	837		2511	3.36214e-05	ngram	3	2.65796e-05
memorie ende uijtsprake	837		2511	3.36214e-05	ngram	3	2.65796e-05
van de nabeschrevene	836		2508	3.35812e-05	ngram	3	2.65478e-05
, Ende vorder	836		2508	3.35812e-05	ngram	3	2.65478e-05
, en andere	836		2508	3.35812e-05	ngram	3	2.65478e-05
volgende staende op	835		2505	3.3541e-05	ngram	3	2.65161e-05
doen , wes	835		2505	3.3541e-05	ngram	3	2.65161e-05
sulcx hij etc.	834		2502	3.35009e-05	ngram	3	2.64843e-05
den Boedel van	834		2502	3.35009e-05	ngram	3	2.64843e-05
te approberen ende	833		2499	3.34607e-05	ngram	3	2.64525e-05
recht noch eijgendom	833		2499	3.34607e-05	ngram	3	2.64525e-05
profijte van de	833		2499	3.34607e-05	ngram	3	2.64525e-05
nabesz : Get	833		2499	3.34607e-05	ngram	3	2.64525e-05
Koopman woonende binnen	833		2499	3.34607e-05	ngram	3	2.64525e-05
heeft inder bester	833		2499	3.34607e-05	ngram	3	2.64525e-05
en weder en	833		2499	3.34607e-05	ngram	3	2.64525e-05
En dewijl de	833		2499	3.34607e-05	ngram	3	2.64525e-05
, als met	833		2499	3.34607e-05	ngram	3	2.64525e-05
van dien .	832		2496	3.34205e-05	ngram	3	2.64208e-05
sich in desen	832		2496	3.34205e-05	ngram	3	2.64208e-05
Jacob van der	832		2496	3.34205e-05	ngram	3	2.64208e-05
in die ook	832		2496	3.34205e-05	ngram	3	2.64208e-05
hondert Negen en	832		2496	3.34205e-05	ngram	3	2.64208e-05
en Jan Koning	832		2496	3.34205e-05	ngram	3	2.64208e-05
den levende ofte	832		2496	3.34205e-05	ngram	3	2.64208e-05
de eerststervende de	832		2496	3.34205e-05	ngram	3	2.64208e-05
actien , ende	832		2496	3.34205e-05	ngram	3	2.64208e-05
vier en sestig	831		2493	3.33804e-05	ngram	3	2.6389e-05
tot Laste van	831		2493	3.33804e-05	ngram	3	2.6389e-05
ten bedwang van	831		2493	3.33804e-05	ngram	3	2.6389e-05
roerende , onroerende	831		2493	3.33804e-05	ngram	3	2.6389e-05
ontfangen mitsgaders daer	831		2493	3.33804e-05	ngram	3	2.6389e-05
kennen , mogen	831		2493	3.33804e-05	ngram	3	2.6389e-05
de 1 2	831		2493	3.33804e-05	ngram	3	2.6389e-05
ter andere Zyde	830		2490	3.33402e-05	ngram	3	2.63573e-05
ende onroerende actien	830		2490	3.33402e-05	ngram	3	2.63573e-05
: aen de	830		2490	3.33402e-05	ngram	3	2.63573e-05
sal alles oprecht	829		2487	3.33e-05	ngram	3	2.63255e-05
En is mij	829		2487	3.33e-05	ngram	3	2.63255e-05
, hoe waer	828		2484	3.32599e-05	ngram	3	2.62938e-05
die ook mogten	828		2484	3.32599e-05	ngram	3	2.62938e-05
Amstelredamme Residerende Openbaer	828		2484	3.32599e-05	ngram	3	2.62938e-05
, ende met	827		2481	3.32197e-05	ngram	3	2.6262e-05
rechten best sal	826		2478	3.31795e-05	ngram	3	2.62303e-05
Nots . &	826		2478	3.31795e-05	ngram	3	2.62303e-05
, in het	826		2478	3.31795e-05	ngram	3	2.62303e-05
binnen Amstelredamme Residerende	826		2478	3.31795e-05	ngram	3	2.62303e-05
sal gelieven te	825		2475	3.31394e-05	ngram	3	2.61985e-05
En wel de	825		2475	3.31394e-05	ngram	3	2.61985e-05
soude kennen ,	824		2472	3.30992e-05	ngram	3	2.61667e-05
: P :	824		2472	3.30992e-05	ngram	3	2.61667e-05
geweest , ende	824		2472	3.30992e-05	ngram	3	2.61667e-05
, gemaeckt ,	824		2472	3.30992e-05	ngram	3	2.61667e-05
ƒ 1000 :	824		2472	3.30992e-05	ngram	3	2.61667e-05
te stellen ofte	823		2469	3.3059e-05	ngram	3	2.6135e-05
ten huijse ende	823		2469	3.3059e-05	ngram	3	2.6135e-05
sal ende voltrocken	823		2469	3.3059e-05	ngram	3	2.6135e-05
quitantie van allen	823		2469	3.3059e-05	ngram	3	2.6135e-05
ofte eenige andere	823		2469	3.3059e-05	ngram	3	2.6135e-05
geen door de	823		2469	3.3059e-05	ngram	3	2.6135e-05
ses en sestig	822		2466	3.30189e-05	ngram	3	2.61032e-05
gehad gedaen ende	822		2466	3.30189e-05	ngram	3	2.61032e-05
gagien ende maentgelden	822		2466	3.30189e-05	ngram	3	2.61032e-05
ƒ 5 „	822		2466	3.30189e-05	ngram	3	2.61032e-05
De somme van	822		2466	3.30189e-05	ngram	3	2.61032e-05
den lesten penningh	822		2466	3.30189e-05	ngram	3	2.61032e-05
de Edele achtbaare	822		2466	3.30189e-05	ngram	3	2.61032e-05
bevestigen , verklaart	822		2466	3.30189e-05	ngram	3	2.61032e-05
van Pieter de	821		2463	3.29787e-05	ngram	3	2.60715e-05
testament , Codicil	821		2463	3.29787e-05	ngram	3	2.60715e-05
soo heb ik	821		2463	3.29787e-05	ngram	3	2.60715e-05
Maij des Jaars	821		2463	3.29787e-05	ngram	3	2.60715e-05
des doodts off	821		2463	3.29787e-05	ngram	3	2.60715e-05
voor den nots	820		2460	3.29385e-05	ngram	3	2.60397e-05
van die het	820		2460	3.29385e-05	ngram	3	2.60397e-05
die daar toe	820		2460	3.29385e-05	ngram	3	2.60397e-05
desen , doende	820		2460	3.29385e-05	ngram	3	2.60397e-05
wesen , die	819		2457	3.28983e-05	ngram	3	2.6008e-05
uijtterste wille in	819		2457	3.28983e-05	ngram	3	2.6008e-05
sorteren sal ende	819		2457	3.28983e-05	ngram	3	2.6008e-05
req : van	819		2457	3.28983e-05	ngram	3	2.6008e-05
in plaatse van	819		2457	3.28983e-05	ngram	3	2.6008e-05
uijteijnde te vervolgen	818		2454	3.28582e-05	ngram	3	2.59762e-05
by desen Sr.	818		2454	3.28582e-05	ngram	3	2.59762e-05
Presentie vande nabesz	817		2451	3.2818e-05	ngram	3	2.59445e-05
off onder den	817		2451	3.2818e-05	ngram	3	2.59445e-05
en tot administrateur	817		2451	3.2818e-05	ngram	3	2.59445e-05
de Voorn :	817		2451	3.2818e-05	ngram	3	2.59445e-05
, wes hij	816		2448	3.27778e-05	ngram	3	2.59127e-05
voor reecke .	816		2448	3.27778e-05	ngram	3	2.59127e-05
, verklaarde de	816		2448	3.27778e-05	ngram	3	2.59127e-05
van ses duijsent	816		2448	3.27778e-05	ngram	3	2.59127e-05
noch eijgendom meerder	816		2448	3.27778e-05	ngram	3	2.59127e-05
met de voorsz	816		2448	3.27778e-05	ngram	3	2.59127e-05
haar testament op	816		2448	3.27778e-05	ngram	3	2.59127e-05
Executeeren , van	816		2448	3.27778e-05	ngram	3	2.59127e-05
van de benefitien	815		2445	3.27377e-05	ngram	3	2.58809e-05
twee en sestig	815		2445	3.27377e-05	ngram	3	2.58809e-05
ende schadeloos te	815		2445	3.27377e-05	ngram	3	2.58809e-05
de vruchten ende	815		2445	3.27377e-05	ngram	3	2.58809e-05
Compareerde mede voor	815		2445	3.27377e-05	ngram	3	2.58809e-05
Bewindhebberen van de	815		2445	3.27377e-05	ngram	3	2.58809e-05
ampele ende generale	815		2445	3.27377e-05	ngram	3	2.58809e-05
, welcke voorsz	814		2442	3.26975e-05	ngram	3	2.58492e-05
van de oostindische	814		2442	3.26975e-05	ngram	3	2.58492e-05
in den Text	814		2442	3.26975e-05	ngram	3	2.58492e-05
getuijgen voor reedenen	814		2442	3.26975e-05	ngram	3	2.58492e-05
deuchdelijck schuldich te	814		2442	3.26975e-05	ngram	3	2.58492e-05
, des nooth	814		2442	3.26975e-05	ngram	3	2.58492e-05
Compt : desen	814		2442	3.26975e-05	ngram	3	2.58492e-05
betaalt te sijn	814		2442	3.26975e-05	ngram	3	2.58492e-05
vijftig compareerde voor	813		2439	3.26573e-05	ngram	3	2.58174e-05
van den Bergh	813		2439	3.26573e-05	ngram	3	2.58174e-05
sijn persoon en	813		2439	3.26573e-05	ngram	3	2.58174e-05
met het voorsz	813		2439	3.26573e-05	ngram	3	2.58174e-05
heeft hy Testateur	813		2439	3.26573e-05	ngram	3	2.58174e-05
geene in Crachte	813		2439	3.26573e-05	ngram	3	2.58174e-05
schuldig te weesen	812		2436	3.26172e-05	ngram	3	2.57857e-05
Groe nots :	812		2436	3.26172e-05	ngram	3	2.57857e-05
dewelke bij deesen	812		2436	3.26172e-05	ngram	3	2.57857e-05
behoeve van d	812		2436	3.26172e-05	ngram	3	2.57857e-05
Amen , Inden	812		2436	3.26172e-05	ngram	3	2.57857e-05
, verbindende de	811		2433	3.2577e-05	ngram	3	2.57539e-05
Koper of sijn	811		2433	3.2577e-05	ngram	3	2.57539e-05
haere persoonen ende	811		2433	3.2577e-05	ngram	3	2.57539e-05
ende uijtsprake wel	811		2433	3.2577e-05	ngram	3	2.57539e-05
alhier ter stede	811		2433	3.2577e-05	ngram	3	2.57539e-05
vander Groe ende	810		2430	3.25368e-05	ngram	3	2.57222e-05
dat onder de	810		2430	3.25368e-05	ngram	3	2.57222e-05
te ageeren ,	809		2427	3.24967e-05	ngram	3	2.56904e-05
sullen guarandeeren en	809		2427	3.24967e-05	ngram	3	2.56904e-05
soorten van uijterste	809		2427	3.24967e-05	ngram	3	2.56904e-05
naem des Heeren	809		2427	3.24967e-05	ngram	3	2.56904e-05
, memorie ende	809		2427	3.24967e-05	ngram	3	2.56904e-05
betaelt te zijn	809		2427	3.24967e-05	ngram	3	2.56904e-05
voorsiening te doen	808		2424	3.24565e-05	ngram	3	2.56587e-05
sonder eenige de	808		2424	3.24565e-05	ngram	3	2.56587e-05
is gesteld door	808		2424	3.24565e-05	ngram	3	2.56587e-05
in de naamen	808		2424	3.24565e-05	ngram	3	2.56587e-05
die verclaerden de	808		2424	3.24565e-05	ngram	3	2.56587e-05
te Caveren ,	807		2421	3.24163e-05	ngram	3	2.56269e-05
op de hoeck	807		2421	3.24163e-05	ngram	3	2.56269e-05
niet en waren	807		2421	3.24163e-05	ngram	3	2.56269e-05
ende verschoten penningen	807		2421	3.24163e-05	ngram	3	2.56269e-05
Een Huijs en	807		2421	3.24163e-05	ngram	3	2.56269e-05
desen , de	807		2421	3.24163e-05	ngram	3	2.56269e-05
allen ontfangh te	807		2421	3.24163e-05	ngram	3	2.56269e-05
allen dagen ende	807		2421	3.24163e-05	ngram	3	2.56269e-05
zij Compten .	806		2418	3.23762e-05	ngram	3	2.55951e-05
wes hij Constituant	806		2418	3.23762e-05	ngram	3	2.55951e-05
van de nabes	806		2418	3.23762e-05	ngram	3	2.55951e-05
, soo hebben	806		2418	3.23762e-05	ngram	3	2.55951e-05
sonder misleijding van	806		2418	3.23762e-05	ngram	3	2.55951e-05
ende alsoo den	806		2418	3.23762e-05	ngram	3	2.55951e-05
van hem Heer	805		2415	3.2336e-05	ngram	3	2.55634e-05
hebbende van de	805		2415	3.2336e-05	ngram	3	2.55634e-05
ende Interessen alrede	805		2415	3.2336e-05	ngram	3	2.55634e-05
deugdelijk schuldig te	805		2415	3.2336e-05	ngram	3	2.55634e-05
Jan Theunisz Schoemaker	804		2412	3.22958e-05	ngram	3	2.55316e-05
een hondert guldens	804		2412	3.22958e-05	ngram	3	2.55316e-05
Januarij @ o	803		2409	3.22556e-05	ngram	3	2.54999e-05
, die in	803		2409	3.22556e-05	ngram	3	2.54999e-05
: 13 :	803		2409	3.22556e-05	ngram	3	2.54999e-05
zulx doende bij	802		2406	3.22155e-05	ngram	3	2.54681e-05
waerden tehouden ende	802		2406	3.22155e-05	ngram	3	2.54681e-05
van hun Testateuren	802		2406	3.22155e-05	ngram	3	2.54681e-05
van gelove hier	802		2406	3.22155e-05	ngram	3	2.54681e-05
op den 24	802		2406	3.22155e-05	ngram	3	2.54681e-05
of soo 't	802		2406	3.22155e-05	ngram	3	2.54681e-05
Constitueert ende machtich	802		2406	3.22155e-05	ngram	3	2.54681e-05
als getuigen hier	802		2406	3.22155e-05	ngram	3	2.54681e-05
wel ende deuchdel	801		2403	3.21753e-05	ngram	3	2.54364e-05
met No .	801		2403	3.21753e-05	ngram	3	2.54364e-05
het passeeren deeses	801		2403	3.21753e-05	ngram	3	2.54364e-05
ende dat met	801		2403	3.21753e-05	ngram	3	2.54364e-05
alles oprecht .	801		2403	3.21753e-05	ngram	3	2.54364e-05
aan hem Heer	801		2403	3.21753e-05	ngram	3	2.54364e-05
verclaerden te wesen	800		2400	3.21351e-05	ngram	3	2.54046e-05
hierinne niet en	800		2400	3.21351e-05	ngram	3	2.54046e-05
, en daer	800		2400	3.21351e-05	ngram	3	2.54046e-05
tot sijn eenige	798		2394	3.20548e-05	ngram	3	2.53411e-05
sal ende sulcx	798		2394	3.20548e-05	ngram	3	2.53411e-05
op den 29	798		2394	3.20548e-05	ngram	3	2.53411e-05
onbedwongen ende sonder	798		2394	3.20548e-05	ngram	3	2.53411e-05
van haer Testatrice	797		2391	3.20146e-05	ngram	3	2.53093e-05
van d hr	797		2391	3.20146e-05	ngram	3	2.53093e-05
sullen voldoen ende	797		2391	3.20146e-05	ngram	3	2.53093e-05
respective persoonen en	797		2391	3.20146e-05	ngram	3	2.53093e-05
ofte mogen doen	797		2391	3.20146e-05	ngram	3	2.53093e-05
: H :	797		2391	3.20146e-05	ngram	3	2.53093e-05
deser steede als	797		2391	3.20146e-05	ngram	3	2.53093e-05
de nagenoemde getuigen	797		2391	3.20146e-05	ngram	3	2.53093e-05
Comparanten binnen dese	797		2391	3.20146e-05	ngram	3	2.53093e-05
2 : 10	797		2391	3.20146e-05	ngram	3	2.53093e-05
s gravenhage ,	796		2388	3.19745e-05	ngram	3	2.52776e-05
jegens eenen yegel	796		2388	3.19745e-05	ngram	3	2.52776e-05
die hij wilde	796		2388	3.19745e-05	ngram	3	2.52776e-05
den inhoud van	796		2388	3.19745e-05	ngram	3	2.52776e-05
bekenden de comparanten	796		2388	3.19745e-05	ngram	3	2.52776e-05
te sijn ende	795		2385	3.19343e-05	ngram	3	2.52458e-05
sijnent wegen te	795		2385	3.19343e-05	ngram	3	2.52458e-05
de Heer Abraham	795		2385	3.19343e-05	ngram	3	2.52458e-05
December des Jaars	795		2385	3.19343e-05	ngram	3	2.52458e-05
en geliefte want	794		2382	3.18941e-05	ngram	3	2.52141e-05
daer uijt te	794		2382	3.18941e-05	ngram	3	2.52141e-05
sijnde soude comen	793		2379	3.1854e-05	ngram	3	2.51823e-05
Notaris bekend is	793		2379	3.1854e-05	ngram	3	2.51823e-05
mij Dirck Vander	793		2379	3.1854e-05	ngram	3	2.51823e-05
ende van de	793		2379	3.1854e-05	ngram	3	2.51823e-05
eijge beweeging en	793		2379	3.1854e-05	ngram	3	2.51823e-05
West Indische Compe	792		2376	3.18138e-05	ngram	3	2.51506e-05
van Hoorn ,	792		2376	3.18138e-05	ngram	3	2.51506e-05
ten profijte van	792		2376	3.18138e-05	ngram	3	2.51506e-05
soude mogen hebben	792		2376	3.18138e-05	ngram	3	2.51506e-05
sorteren sullen ,	792		2376	3.18138e-05	ngram	3	2.51506e-05
: O en	792		2376	3.18138e-05	ngram	3	2.51506e-05
hare goederen ,	792		2376	3.18138e-05	ngram	3	2.51506e-05
ende voor de	792		2376	3.18138e-05	ngram	3	2.51506e-05
duijsend guldens gegoed	792		2376	3.18138e-05	ngram	3	2.51506e-05
David de Wilhem	792		2376	3.18138e-05	ngram	3	2.51506e-05
belooft te hebben	792		2376	3.18138e-05	ngram	3	2.51506e-05
allen heeren ,	792		2376	3.18138e-05	ngram	3	2.51506e-05
te verschijnen uijt	791		2373	3.17736e-05	ngram	3	2.51188e-05
Over verteerde Costen	791		2373	3.17736e-05	ngram	3	2.51188e-05
Holland geadmitteerd ,	791		2373	3.17736e-05	ngram	3	2.51188e-05
eygen merck .	791		2373	3.17736e-05	ngram	3	2.51188e-05
ten deesen met	790		2370	3.17334e-05	ngram	3	2.5087e-05
, op ende	790		2370	3.17334e-05	ngram	3	2.5087e-05
hondert guldens capitaal	790		2370	3.17334e-05	ngram	3	2.5087e-05
en dat met	790		2370	3.17334e-05	ngram	3	2.5087e-05
Notaris in praesentie	789		2367	3.16933e-05	ngram	3	2.50553e-05
man Zalr .	789		2367	3.16933e-05	ngram	3	2.50553e-05
hun voorsz .	789		2367	3.16933e-05	ngram	3	2.50553e-05
Compt : neffens	789		2367	3.16933e-05	ngram	3	2.50553e-05
voor de Edele	788		2364	3.16531e-05	ngram	3	2.50235e-05
soo voor hem	788		2364	3.16531e-05	ngram	3	2.50235e-05
: R :	788		2364	3.16531e-05	ngram	3	2.50235e-05
Interessen alreede gehadt	788		2364	3.16531e-05	ngram	3	2.50235e-05
ende by de	788		2364	3.16531e-05	ngram	3	2.50235e-05
